Country,Rank,Account,Title,Link,Subscribers count,Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
All,-1.5113248813881472,axelwebber,Axel,https://www.tiktok.com/@axelwebber,-0.2712461898786771,0.7662355243954789,1.6457987460007732,0.4559467736840985,-0.04757087414202412,2022-02-07 16:54:35.641971
All,-1.5078625105258605,madison.darwin,madison darwin,https://www.tiktok.com/@madison.darwin,-0.6436938306280876,3.193232048061287,0.21272707680395905,0.031025558168843916,-0.0314776416125046,2022-02-07 16:54:35.641971
All,-1.5044001396635738,strangehumano,strangehumman NOVA,https://www.tiktok.com/@strangehumano,0.05066188337059732,0.8726827403457337,0.9278989016981913,0.28855356757202855,-0.02670927641857289,2022-02-07 16:54:35.641971
All,-1.500937768801287,alexschlab,Alex,https://www.tiktok.com/@alexschlab,-0.5565763086333125,0.3191572174044089,1.932958683721806,0.39156477133330236,-0.03684205245567777,2022-02-07 16:54:35.641971
All,-1.4974753979390003,masonramsey,Mason Ramsey,https://www.tiktok.com/@masonramsey,-0.48278578087105745,1.3836293769069565,0.784318932837675,0.1984187642809139,-0.03922623505264363,2022-02-07 16:54:35.641971
All,-1.4940130270767138,connordewolfe,Connor DeWolfe,https://www.tiktok.com/@connordewolfe,-0.1792724546645987,0.1914205582641032,0.9278989016981913,0.13403676193011776,0.031107151557849093,2022-02-07 16:54:35.641971
All,-1.490550656214427,drewafualo,Drew Afualo,https://www.tiktok.com/@drewafualo,-0.12408821353615165,0.276578331024307,0.9278989016981913,1.1126431976622193,-0.032073687261746066,2022-02-07 16:54:35.641971
All,-1.4870882853521403,johnnysins,JohnnySins,https://www.tiktok.com/@johnnysins,-0.013719731279257562,0.4894727629248165,0.3067719564075973,0.7778567854380792,0.02097437552074421,2022-02-07 16:54:35.641971
All,-1.4836259144898536,fujiiian,Fuji,https://www.tiktok.com/@fujiiian,0.298990968448609,1.1920243881964978,1.0714788705587077,0.1082839609897993,-0.0445906458958168,2022-02-07 16:54:35.641971
All,-1.4801635436275669,willsmith,Will Smith,https://www.tiktok.com/@willsmith,5.385138525787144,0.23399944464420508,0.4061292948590746,0.2370479656913916,0.05614106882599057,2022-02-07 16:54:35.641971
All,-1.4767011727652801,jdpantoja,JD Pantoja,https://www.tiktok.com/@jdpantoja,1.7153864907454164,0.5959199788750713,1.0714788705587077,0.7005983826171239,-0.05233923933595583,2022-02-07 16:54:35.641971
