founded,employees,job_openings,FoundedYears,founded_binary,employees_binary,job_openings_binary
2019.0,54.0,1.0,4.0,2019.0,54.0,1.0
2016.0,556.0,1.0,7.0,2016.0,556.0,1.0
2017.0,97.0,1.0,6.0,2017.0,97.0,1.0
2019.0,56.0,1.0,4.0,2019.0,56.0,1.0
2012.5448798988623,316.0,1.0,,2012.5448798988623,316.0,1.0
2012.5448798988623,165.0,1.0,,2012.5448798988623,165.0,1.0
2016.0,895.0,1.0,7.0,2016.0,895.0,1.0
2012.0,665.0,49.0,11.0,2012.0,665.0,49.0
2019.0,211.0,1.0,4.0,2019.0,211.0,1.0
2016.0,477.0,32.0,7.0,2016.0,477.0,32.0
2013.0,213.0,1.0,10.0,2013.0,213.0,1.0
2017.0,160.0,1.0,6.0,2017.0,160.0,1.0
2016.0,487.0,28.0,7.0,2016.0,487.0,28.0
2011.0,313.0,1.0,12.0,2011.0,313.0,1.0
2011.0,313.0,1.0,12.0,2011.0,313.0,1.0
2016.0,595.0,10.0,7.0,2016.0,595.0,10.0
2013.0,428.0,1.0,10.0,2013.0,428.0,1.0
1981.0,42.0,8.57356076759062,42.0,1981.0,42.0,8.57356076759062
2016.0,119.0,1.0,7.0,2016.0,119.0,1.0
2010.0,177.0,1.0,13.0,2010.0,177.0,1.0
2014.0,122.0,1.0,9.0,2014.0,122.0,1.0
2021.0,86.0,1.0,2.0,2021.0,86.0,1.0
2008.0,407.0,1.0,15.0,2008.0,407.0,1.0
2017.0,247.0,1.0,6.0,2017.0,247.0,1.0
2011.0,111.0,1.0,12.0,2011.0,111.0,1.0
2015.0,498.0,1.0,8.0,2015.0,498.0,1.0
2020.0,42.0,1.0,3.0,2020.0,42.0,1.0
1998.0,640.0,8.57356076759062,25.0,1998.0,640.0,8.57356076759062
2012.5448798988623,151.0,1.0,,2012.5448798988623,151.0,1.0
2018.0,89.0,1.0,5.0,2018.0,89.0,1.0
2018.0,455.0,1.0,5.0,2018.0,455.0,1.0
2015.0,484.0,1.0,8.0,2015.0,484.0,1.0
2014.0,206.0,6.0,9.0,2014.0,206.0,6.0
2014.0,844.0,42.0,9.0,2014.0,844.0,42.0
2019.0,416.0,1.0,4.0,2019.0,416.0,1.0
2012.5448798988623,310.0,1.0,,2012.5448798988623,310.0,1.0
2012.5448798988623,141.0,1.0,,2012.5448798988623,141.0,1.0
2013.0,224.0,5.0,10.0,2013.0,224.0,5.0
2015.0,375.0,1.0,8.0,2015.0,375.0,1.0
2015.0,303.0,1.0,8.0,2015.0,303.0,1.0
2011.0,526.0,1.0,12.0,2011.0,526.0,1.0
2018.0,484.0,37.0,5.0,2018.0,484.0,37.0
2017.0,294.0,45.0,6.0,2017.0,294.0,45.0
2021.0,550.0,8.57356076759062,2.0,2021.0,550.0,8.57356076759062
2000.0,336.0,1.0,23.0,2000.0,336.0,1.0
2012.5448798988623,879.0,1.0,,2012.5448798988623,879.0,1.0
2014.0,56.0,1.0,9.0,2014.0,56.0,1.0
2014.0,483.0,1.0,9.0,2014.0,483.0,1.0
2012.5448798988623,262.0,1.0,,2012.5448798988623,262.0,1.0
2018.0,57.0,1.0,5.0,2018.0,57.0,1.0
2016.0,614.0,1.0,7.0,2016.0,614.0,1.0
2017.0,256.0,1.0,6.0,2017.0,256.0,1.0
2018.0,577.0,33.0,5.0,2018.0,577.0,33.0
2013.0,589.0,1.0,10.0,2013.0,589.0,1.0
2012.5448798988623,34.0,1.0,,2012.5448798988623,34.0,1.0
2012.5448798988623,310.0,8.57356076759062,,2012.5448798988623,310.0,8.57356076759062
